course_id,active_course,category,instractor,original_price,name,url,short_description,sections_count,lectures_count,duration_str,language,last_update_date,caourse_rating,rating_count,best_rating,worst_rating,position_1,position_2,position_3,enrollment
834702,1,Teaching & Academics,alto-ray,$39.99,Building Your English Brain,https://www.udemy.com/course/building-your-english-brain/,Learn to start thinking in English so that you can stop translating in your head and become fluent in English faster.,4,15,3h 7m,English,6/2016,4.6,9034,5,0.5,Teaching & Academics,Language Learning,English Language,"32,351"
1839826,1,Development,mohammad-azam-2,$19.99,Mastering MapKit for iOS,https://www.udemy.com/course/mastering-mapkit-for-ios/,Learn the art of creating MapKit iOS applications using Swift from start to finish.,7,31,2h 52m,English,10/2020,4.4,98,5,0.5,Development,Mobile Development,iOS Development,537
4302759,1,Development,javascript-academy,$44.99,ASP.NET Core for beginners,https://www.udemy.com/course/aspnet-core-for-beginners/,Build ASP.NET Core Web Applications,3,25,1h 58m,English,10/2021,4.4,10,5,0.5,Development,Web Development,ASP.NET Core,317
2323470,1,Personal Development,alexgenadinik,$119.99,Business Communication Skills: Business Writing & Grammar,https://www.udemy.com/course/professional-communication-and-business-writing/,"Professional communication skills: Business writing, English grammar, business English, email, and presentations skills",27,228,14h 51m,English,12/2021,4.5,7264,5,0.5,Personal Development,Career Development,Business Communication,"31,367"
2368456,1,Business,javascript-academy,$104.99,Primavera P6 Professional For beginners,https://www.udemy.com/course/primavera-p6-professional-for-beginners/,Learn to use Primavera P6 to manage mid-size  and large-scale projects successfully and efficiently.,5,30,1h 41m,English,6/2021,4.1,107,5,0.5,Business,Project Management,Oracle Primavera,"1,192"
2866626,1,IT & Software,365careers,$199.99,Web Scraping and API Fundamentals in Python 2021,https://www.udemy.com/course/web-scraping-and-api-fundamentals-in-python/,Learn Web Scraping with Beautiful Soup and requests-html; harness APIs whenever available; automate data collection!,10,62,3h 51m,English,6/2020,4.2,981,5,0.5,IT & Software,Other IT & Software,Web Scraping,"6,883"
922278,1,Office Productivity,365careers,$94.99,Microsoft Word 2016: Beginner and Intermediate Training,https://www.udemy.com/course/microsoft-word-2016-beginner-and-intermediate-training/,Microsoft Word 2016 at Its Best (with Exercises in Every Lecture) - Boost Your Office Productivity in No Time,11,34,1h 32m,English,5/2018,4.5,342,5,0.5,Office Productivity,Microsoft,Microsoft Word,"3,969"
3105324,1,Development,javascript-academy,$69.99,DB2 For Beginners,https://www.udemy.com/course/db2-for-beginners/,Execute SQL Queries on  an IBM DB2 Database Server,2,26,1h 59m,English,6/2021,4.4,184,5,0.5,Development,Database Design & Development,IBM Db2,"2,149"
4344302,1,Development,javascript-academy,$129.99,Software Developer - C#/OOP/ASP.NET MVC/MS SQL/SQL Server,https://www.udemy.com/course/software-developer-coopaspnet-mvcms-sqlsql-server/,Build Applications with C#/OOP/ASP.NET MVC/MS SQL/SQL Server,12,132,12h 10m,English,10/2021,4.4,52,5,0.5,Development,Software Engineering,Software Development,"14,531"
3901412,1,Development,javascript-academy,$39.99,Data Warehouse Developer-SQL Server/ETL/SSIS/SSAS/SSRS/T-SQL,https://www.udemy.com/course/data-warehouse-developer-sql-serveretlssisssasssrst-sql/,Develop and Implement a Data Warehouse  Solution  Step by step,9,82,8h 4m,English,9/2021,4.2,483,5,0.5,Development,Database Design & Development,Data Warehouse,"19,118"
